measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
35,4.0,1.0,1,4.0,3.25,0.75,0.75,1.75,0.8125,0.0,0.0,70.0,5.333333333333333,59.0,80.0,69.0,1.3125,0.4296875,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,5.333333333333333,0.4444444444444443,5.0,6.0,5.0,0.3333333333333333,0.4444444444444445,0.0,1.0,0.0,5.25,0.375,5.0,6.0,5.0,0.25,0.375,0.0,1.0,0.0,17.5,1.25,16.0,20.0,17.0,0.95,0.075,0.8,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,0.1818181818181818,1.0,0.0909090909090909,0.0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
36,4.0,1.0,1,2.5,2.5,0.5,0.5,1.75,1.0,0.0,0.0,64.7,5.44,56.0,75.0,63.5,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,1.0,4.0,6.0,5.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0,6.0,5.0,1.0,0.0,1.0,1.0,1.0,18.5,1.5,17.0,20.0,18.5,0.9,0.0999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
37,4.0,1.0,1,4.5,3.5,0.75,0.75,1.75,0.7777777777777778,0.0,0.0,65.32,6.892799999999999,54.0,78.0,64.0,1.3888888888888888,0.4753086419753086,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,6.0,0.6666666666666666,5.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,6.25,0.75,5.0,7.0,6.5,1.0,0.0,1.0,1.0,1.0,21.75,0.375,21.0,22.0,22.0,0.7761904761904762,0.1571428571428571,0.6190476190476191,1.0,0.7428571428571429,1.0,1.0,1.0,0.9090909090909092,0.4545454545454545,0.8181818181818182,0.2727272727272727,0.2727272727272727,1,1,0,1,1,1,1,1,0,1,0,1,0,0,6.5,0.96,1,1.0,homorhythmic,high
38,4.0,1.0,1,4.5,2.75,0.75,0.75,1.5,0.6111111111111112,0.0,0.0,69.08333333333333,5.923611111111111,59.0,80.0,68.5,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,6.0,0.0,6.0,6.0,6.0,0.3333333333333333,0.4444444444444445,0.0,1.0,0.0,6.0,0.0,6.0,6.0,6.0,0.25,0.375,0.0,1.0,0.0,21.0,1.0,20.0,22.0,21.0,0.95,0.075,0.8,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.75,0.75,0.5833333333333334,0.5833333333333334,1,1,0,1,1,1,1,0,0,1,0,1,0,0,6.0,1.0,1,1.0,homorhythmic,high
39,4.0,1.0,1,4.0,3.25,0.75,0.75,1.75,0.8125,0.0,0.0,58.0,5.333333333333333,47.0,68.0,57.0,1.3125,0.4296875,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,5.333333333333333,0.4444444444444443,5.0,6.0,5.0,0.3333333333333333,0.4444444444444445,0.0,1.0,0.0,5.25,0.375,5.0,6.0,5.0,0.25,0.375,0.0,1.0,0.0,17.5,1.25,16.0,20.0,17.0,0.95,0.075,0.8,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,0.1818181818181818,1.0,0.0909090909090909,0.0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
40,4.0,1.0,1,2.75,2.75,0.5,0.5,1.75,1.0,0.0,0.0,53.09090909090909,5.371900826446281,44.0,63.0,52.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,5.5,0.5,5.0,6.0,5.5,0.5,0.5,0.0,1.0,0.5,5.5,0.5,5.0,6.0,5.5,0.5,0.5,0.0,1.0,0.5,18.5,1.5,17.0,20.0,18.5,0.9,0.0999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,0.8,0.6,0.4,0.0,0.0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,5.5,1.0,1,1.0,homorhythmic,high
41,4.0,1.0,1,5.0,2.25,1.0,1.0,1.75,0.45,0.0,0.0,50.55,7.640000000000001,35.0,63.0,54.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,5.0,5.0,5.0,2.0,0.5,1.0,3.0,2.0,5.0,0.0,5.0,5.0,5.0,2.0,0.5,1.0,3.0,2.0,26.5,1.5,25.0,29.0,26.0,0.75,0.125,0.6,1.0,0.7,1.0,1.0,1.0,0.3333333333333333,0.4,0.6,0.4666666666666667,0.7333333333333333,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5.0,1.0,1,1.0,homorhythmic,high
42,4.0,1.0,1,4.75,3.75,3.0,3.0,2.5,0.7894736842105263,0.0,0.0,63.26315789473685,11.66759002770083,40.0,79.0,68.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444443,0.3299999999999998,0.3400000000000001,0.33,1.5833333333333333,0.875,1.0,4.0,1.0,0.5,0.75,0.0,2.0,0.0,1.5825,0.87375,1.0,4.0,1.0,0.5,0.75,0.0,2.0,0.0,7.505,9.7575,1.0,29.0,1.0,0.945,0.1009249999999999,0.3333333333333333,1.0,1.0,0.0833333333333333,0.0,0.25,0.7333333333333333,0.0666666666666666,0.0,0.2666666666666666,0.2666666666666666,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1.0,1.0,1,0.25,monophonic,high
43,4.0,1.0,1,12.25,3.25,3.0,3.0,2.0,0.2653061224489796,0.0,0.0,68.55102040816327,4.960433152852978,59.0,81.0,68.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444443,0.3299999999999998,0.3400000000000001,0.33,4.083333333333333,0.3055555555555553,3.0,5.0,4.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,4.085,0.306525,3.0,5.0,4.0,0.835,0.2755500000000001,0.0,1.0,1.0,16.345,2.431350000000001,8.0,22.0,17.0,0.8399999999999999,0.1344,0.6,1.0,0.8333333333333334,1.0,1.0,0.4166666666666667,0.2888888888888888,0.6444444444444445,0.5555555555555556,0.1555555555555555,0.6444444444444445,1,1,0,1,1,0,1,0,0,0,1,1,0,0,4.0,0.9995920032639738,1,0.4166666666666667,homorhythmic,high
44,4.0,1.0,1,13.0,3.0,3.0,3.0,1.75,0.2307692307692307,0.0,0.0,63.28846153846153,4.486686390532544,56.0,76.0,63.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444443,0.3299999999999998,0.3400000000000001,0.33,4.333333333333333,0.5555555555555555,3.0,5.0,4.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,4.335,0.5552750000000001,3.0,5.0,4.0,0.6699999999999999,0.4422000000000001,0.0,1.0,1.0,16.1075,3.2059499999999996,8.0,21.0,17.0,0.81475,0.15468375,0.5,1.0,0.8,1.0,1.0,0.6666666666666666,0.1041666666666666,0.875,0.4791666666666667,0.2916666666666667,0.7291666666666666,1,1,0,1,1,0,1,0,0,0,1,1,0,0,4.0,0.9996155324875048,1,0.6666666666666666,homorhythmic,high
